,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close
1093,2015-02-12,TSLA,,,,,202.88
1096,2015-02-13,AAPL,,,,,127.08
1095,2015-02-13,TSLA,,,,,203.77
1097,2015-02-17,TSLA,,,,,204.35
1098,2015-02-17,AAPL,,,,,127.83
1099,2015-02-18,TSLA,,,,,204.46
1100,2015-02-18,AAPL,,,,,128.72
1102,2015-02-19,AAPL,,,,,128.45
1101,2015-02-19,TSLA,,,,,211.71
1103,2015-02-20,TSLA,,,,,217.11
1104,2015-02-20,AAPL,,,,,129.5
1105,2015-02-23,TSLA,,,,,207.34
1106,2015-02-23,AAPL,,,,,133.0
1107,2015-02-24,TSLA,,,,,204.11
1108,2015-02-24,AAPL,,,,,132.17
1110,2015-02-25,AAPL,,,,,128.79
1109,2015-02-25,TSLA,,,,,203.76
1112,2015-02-26,AAPL,,,,,130.42
1111,2015-02-26,TSLA,,,,,207.19
1113,2015-02-27,TSLA,,,,,203.34
1114,2015-02-27,AAPL,,,,,128.46
1116,2015-03-02,AAPL,,,,,129.09
1115,2015-03-02,TSLA,,,,,197.33
1118,2015-03-03,AAPL,,,,,129.36
1117,2015-03-03,TSLA,,,,,199.56
1119,2015-03-04,TSLA,,,,,202.44
1120,2015-03-04,AAPL,,,,,128.54
1121,2015-03-05,AAPL,,,,,126.41
1122,2015-03-05,TSLA,,,,,200.63
1123,2015-03-06,AAPL,,,,,126.6
1124,2015-03-06,TSLA,,,,,193.88
1125,2015-03-09,TSLA,,,,,190.88
1126,2015-03-09,AAPL,,,,,127.14
1127,2015-03-10,TSLA,,,,,190.32
1128,2015-03-10,AAPL,,,,,124.51
1129,2015-03-11,TSLA,,,,,193.74
1130,2015-03-11,AAPL,,,,,122.24
1131,2015-03-12,TSLA,,,,,191.07
1132,2015-03-12,AAPL,,,,,124.45
1133,2015-03-13,AAPL,,,,,123.59
1134,2015-03-13,TSLA,,,,,188.68
1135,2015-03-16,TSLA,,,,,195.7
1136,2015-03-16,AAPL,,,,,124.95
1137,2015-03-17,TSLA,,,,,194.73
1138,2015-03-17,AAPL,,,,,127.04
1139,2015-03-18,AAPL,,,,,128.47
1140,2015-03-18,TSLA,,,,,200.71
1141,2015-03-19,AAPL,,,,,127.5
1142,2015-03-19,TSLA,,,,,195.65
1144,2015-03-20,AAPL,,,,,125.9
1143,2015-03-20,TSLA,,,,,198.08
1145,2015-03-23,TSLA,,,,,199.63
1146,2015-03-23,AAPL,,,,,127.21
1148,2015-03-24,AAPL,,,,,126.69
1147,2015-03-24,TSLA,,,,,201.72
1150,2015-03-25,AAPL,,,,,123.38
1149,2015-03-25,TSLA,,,,,194.3
1151,2015-03-26,TSLA,,,,,190.41
1152,2015-03-26,AAPL,,,,,124.24
1153,2015-03-27,TSLA,,,,,185.0
1154,2015-03-27,AAPL,,,,,123.25
1155,2015-03-30,AAPL,,,,,126.37
1156,2015-03-30,TSLA,,,,,190.57
1157,2015-03-31,AAPL,,,,,124.43
1158,2015-03-31,TSLA,,,,,188.77
1159,2015-04-01,AAPL,,,,,124.25
1160,2015-04-01,TSLA,,,,,187.59
1162,2015-04-02,TSLA,,,,,191.0
1161,2015-04-02,AAPL,,,,,125.32
1163,2015-04-06,TSLA,,,,,203.1
1164,2015-04-06,AAPL,,,,,127.35
1165,2015-04-07,TSLA,,,,,203.25
1166,2015-04-07,AAPL,,,,,126.01
1167,2015-04-08,AAPL,,,,,125.6
